price,area,location,district,bedrooms_n,bathrooms_n,floors_n,house_type,year_built,facade_width,legal_status
45000.0,1364.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,biệt thự,,,so hong
14500.0,133.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,2,,nhà ở,,,so hong
16800.0,102.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,12,12,,nhà ở,,,so hong
8500.0,108.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
99000.0,1556.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,nhà ở,,,so hong
28000.0,224.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,5,,nhà ở,,,so hong
5990.0,80.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,4,,nhà ở,,,so hong
45000.0,247.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,6,6,,nhà ở,,,so hong
30000.0,120.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,12,13,,nhà ở,,,so hong
27000.0,973.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,biệt thự,,,so hong
24000.0,250.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,6,7,,nhà ở,,,so hong
45000.0,626.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
19000.0,250.0,"Quận Bình Thuỷ, Cần Thơ",Quận Bình Thuỷ,0,0,,nhà ở,,,so hong
21000.0,165.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,3,,nhà ở,,,so hong
9900.0,120.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,1,1,,nhà ở,,,so hong
38000.0,369.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
33000.0,270.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,8,9,,nhà ở,,,so hong
17900.0,437.0,"Quận Bình Thuỷ, Cần Thơ",Quận Bình Thuỷ,0,0,,nhà ở,,,so hong
33000.0,274.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,2,,nhà ở,,,so hong
